Nama Asuransi,kategori,produk_id,user_id,Rating,Premi Asuransi
Insureka Asuransi Mobil,Kendaraan,P0001,U0058,4.4,1054166
Insureka Asuransi Mobil All Risk,Kendaraan,P0002,U0195,3.1,1106040
Insureka Asuransi Mobil TLO,Kendaraan,P0003,U0165,3.9,1106040
Insureka Asuransi Mobil Comprehensive,Kendaraan,P0004,U0167,4.3,1106040
Insureka Asuransi Mobil Wuling,Kendaraan,P0005,U0014,3.2,896610
Insureka Asuransi Mobil BYD,Kendaraan,P0006,U0140,3.7,1030320
ACA Otomate,Kendaraan,P0007,U0100,3.4,366000
ACA Otomate Smart,Kendaraan,P0008,U0043,3.4,306000
ACA Otomate Solitaire,Kendaraan,P0009,U0006,3.7,360000
Asuransi Kendaraan Bermotor Simas,Kendaraan,P0010,U0071,4.2,100000
Asuransi Simas Mobil Exclusive,Kendaraan,P0011,U0027,5,100000
Asuransi Kendaraan Bermotor Simas,Kendaraan,P0012,U0101,3.7,100000
Asuransi Simas Mikro Autobike,Kendaraan,P0013,U0072,3.7,50000
Asurasni Simas Mobil Bonus,Kendaraan,P0014,U0047,4,100000
Tugu Pratama Indonesia Asuransi TLO,Kendaraan,P0015,U0006,4.5,420000
Tugu Pratama Indonesia Asuransi All risk,Kendaraan,P0016,U0151,3.5,2100000
Adira Autocillin Asuransi TLO,Kendaraan,P0017,U0013,4.5,862800
Adira Autocillin Asuransi All risk,Kendaraan,P0018,U0006,3.7,3377700
MAG Asuransi TLO,Kendaraan,P0019,U0002,4.6,420000
MAG Asuransi All risk,Kendaraan,P0020,U0182,3,2316000
Alliannz Asuransi TLO,Kendaraan,P0021,U0068,3.3,466800
Allianz Asuransi All risk,Kendaraan,P0022,U0084,3.7,2908008
Tokio Marine Asuransi TLO,Kendaraan,P0023,U0062,3.8,432000
Tokio Marine Asuransi All risk,Kendaraan,P0024,U0024,3.3,2460000
Insureka Asuransi Mobil,Kendaraan,P0025,U0034,4.8,1054166
Insureka Asuransi Mobil All Risk,Kendaraan,P0026,U0168,4,1106040
Insureka Asuransi Mobil TLO,Kendaraan,P0027,U0073,4.1,1106040
Insureka Asuransi Mobil Comprehensive,Kendaraan,P0028,U0127,3.7,1106040
Insureka Asuransi Mobil Wuling,Kendaraan,P0029,U0135,3.8,896610
Insureka Asuransi Mobil BYD,Kendaraan,P0030,U0135,4.8,1030320
ACA Otomate,Kendaraan,P0031,U0150,3.8,366000
ACA Otomate Smart,Kendaraan,P0032,U0038,3.6,306000
ACA Otomate Solitaire,Kendaraan,P0033,U0012,4.2,360000
Asuransi Kendaraan Bermotor Simas,Kendaraan,P0034,U0103,3.8,100000
Asuransi Simas Mobil Exclusive,Kendaraan,P0035,U0127,3.6,100000
Asuransi Kendaraan Bermotor Simas,Kendaraan,P0036,U0038,5,100000
Asuransi Simas Mikro Autobike,Kendaraan,P0037,U0034,3.3,50000
Asurasni Simas Mobil Bonus,Kendaraan,P0038,U0121,3.5,100000
Tugu Pratama Indonesia Asuransi TLO,Kendaraan,P0039,U0196,3,420000
Tugu Pratama Indonesia Asuransi All risk,Kendaraan,P0040,U0076,3.9,2100000
Adira Autocillin Asuransi TLO,Kendaraan,P0041,U0154,3.5,862800
Adira Autocillin Asuransi All risk,Kendaraan,P0042,U0045,4.8,3377700
MAG Asuransi TLO,Kendaraan,P0043,U0107,4.1,420000
