Nama Asuransi,kategori,produk_id,user_id,Rating,Premi Asuransi
BCA Asuransi Rumah Tinggal,Properti,P0001,U0053,4,774000
BCA Asuransi Properti Komersial,Properti,P0002,U0142,4.3,774000
BCA Asuransi Kebakaran,Properti,P0003,U0112,4.5,769000
Asuransi Simas Ruko,Properti,P0004,U0153,3.4,200000
Simas Rumah Hemat Plus,Properti,P0005,U0147,4.4,200000
Simas Asuransi Kebakaran Property All Risks/Industrial All Risks,Properti,P0006,U0139,4,1785000
AXA Mandiri Asuransi Rumahku Plus,Properti,P0007,U0151,4.8,657428.5714
ACA Asuransi Rumah Idaman (ASRI),Properti,P0008,U0100,3.5,657428.5714
ACA Asuransi Kebakaran (Standar OJK),Properti,P0009,U0094,2.7,657428.5714
Allianz Asuransi Rumahku Plus,Properti,P0010,U0033,4.7,100000
BCA Asuransi Rumah Tinggal,Properti,P0011,U0075,4.4,774000
BCA Asuransi Properti Komersial,Properti,P0012,U0015,3.7,774000
BCA Asuransi Kebakaran,Properti,P0013,U0192,4.4,769000
Asuransi Simas Ruko,Properti,P0014,U0133,4.6,200000
Simas Rumah Hemat Plus,Properti,P0015,U0146,3.9,200000
Simas Asuransi Kebakaran Property All Risks/Industrial All Risks,Properti,P0016,U0047,3.4,1785000
AXA Mandiri Asuransi Rumahku Plus,Properti,P0017,U0172,4.4,657428.5714
ACA Asuransi Rumah Idaman (ASRI),Properti,P0018,U0051,3.9,657428.5714
ACA Asuransi Kebakaran (Standar OJK),Properti,P0019,U0137,4.6,657428.5714
Allianz Asuransi Rumahku Plus,Properti,P0020,U0121,4,100000
BCA Asuransi Rumah Tinggal,Properti,P0021,U0141,4.8,774000
BCA Asuransi Properti Komersial,Properti,P0022,U0151,3.3,774000
BCA Asuransi Kebakaran,Properti,P0023,U0184,4,769000
Asuransi Simas Ruko,Properti,P0024,U0167,3.6,200000
Simas Rumah Hemat Plus,Properti,P0025,U0099,4,200000
Simas Asuransi Kebakaran Property All Risks/Industrial All Risks,Properti,P0026,U0039,4.1,1785000
AXA Mandiri Asuransi Rumahku Plus,Properti,P0027,U0159,3.7,657428.5714
ACA Asuransi Rumah Idaman (ASRI),Properti,P0028,U0183,4,657428.5714
ACA Asuransi Kebakaran (Standar OJK),Properti,P0029,U0185,4.7,657428.5714
Allianz Asuransi Rumahku Plus,Properti,P0030,U0104,3.4,100000
BCA Asuransi Rumah Tinggal,Properti,P0031,U0194,3.9,774000
BCA Asuransi Properti Komersial,Properti,P0032,U0186,3.9,774000
BCA Asuransi Kebakaran,Properti,P0033,U0068,5,769000
Asuransi Simas Ruko,Properti,P0034,U0116,3.5,200000
Simas Rumah Hemat Plus,Properti,P0035,U0009,3,200000
Simas Asuransi Kebakaran Property All Risks/Industrial All Risks,Properti,P0036,U0097,4.5,1785000
AXA Mandiri Asuransi Rumahku Plus,Properti,P0037,U0151,4.2,657428.5714
ACA Asuransi Rumah Idaman (ASRI),Properti,P0038,U0013,4.5,657428.5714
ACA Asuransi Kebakaran (Standar OJK),Properti,P0039,U0039,4,657428.5714
Allianz Asuransi Rumahku Plus,Properti,P0040,U0045,4.7,100000
BCA Asuransi Rumah Tinggal,Properti,P0041,U0171,3.6,774000
BCA Asuransi Properti Komersial,Properti,P0042,U0153,4.5,774000
BCA Asuransi Kebakaran,Properti,P0043,U0151,4.2,769000
Asuransi Simas Ruko,Properti,P0044,U0178,4.6,200000
Simas Rumah Hemat Plus,Properti,P0045,U0151,4.5,200000
Simas Asuransi Kebakaran Property All Risks/Industrial All Risks,Properti,P0046,U0007,4.5,1785000
AXA Mandiri Asuransi Rumahku Plus,Properti,P0047,U0025,4.1,657428.5714
ACA Asuransi Rumah Idaman (ASRI),Properti,P0048,U0181,4.1,657428.5714
ACA Asuransi Kebakaran (Standar OJK),Properti,P0049,U0152,3.9,657428.5714
Allianz Asuransi Rumahku Plus,Properti,P0050,U0200,2.7,100000
BCA Asuransi Rumah Tinggal,Properti,P0051,U0060,5,774000
BCA Asuransi Properti Komersial,Properti,P0052,U0128,4.1,774000
BCA Asuransi Kebakaran,Properti,P0053,U0193,3.7,769000
Asuransi Simas Ruko,Properti,P0054,U0146,3.1,200000
Simas Rumah Hemat Plus,Properti,P0055,U0073,4.8,200000
Simas Asuransi Kebakaran Property All Risks/Industrial All Risks,Properti,P0056,U0066,4.6,1785000
AXA Mandiri Asuransi Rumahku Plus,Properti,P0057,U0167,5,657428.5714
ACA Asuransi Rumah Idaman (ASRI),Properti,P0058,U0168,3.6,657428.5714
ACA Asuransi Kebakaran (Standar OJK),Properti,P0059,U0054,4.1,657428.5714
Allianz Asuransi Rumahku Plus,Properti,P0060,U0168,2.8,100000
BCA Asuransi Rumah Tinggal,Properti,P0061,U0179,3.6,774000
BCA Asuransi Properti Komersial,Properti,P0062,U0165,4.8,774000
BCA Asuransi Kebakaran,Properti,P0063,U0072,4.5,769000
Asuransi Simas Ruko,Properti,P0064,U0120,4.2,200000
Simas Rumah Hemat Plus,Properti,P0065,U0036,3.2,200000
Simas Asuransi Kebakaran Property All Risks/Industrial All Risks,Properti,P0066,U0087,3.2,1785000
AXA Mandiri Asuransi Rumahku Plus,Properti,P0067,U0166,4.2,657428.5714
ACA Asuransi Rumah Idaman (ASRI),Properti,P0068,U0160,4.1,657428.5714
ACA Asuransi Kebakaran (Standar OJK),Properti,P0069,U0130,4.4,657428.5714
Allianz Asuransi Rumahku Plus,Properti,P0070,U0032,4.1,100000
BCA Asuransi Rumah Tinggal,Properti,P0071,U0042,4.6,774000
BCA Asuransi Properti Komersial,Properti,P0072,U0159,4.6,774000
BCA Asuransi Kebakaran,Properti,P0073,U0117,3.5,769000
Asuransi Simas Ruko,Properti,P0074,U0030,4.2,200000
Simas Rumah Hemat Plus,Properti,P0075,U0129,3.9,200000
Simas Asuransi Kebakaran Property All Risks/Industrial All Risks,Properti,P0076,U0100,3.9,1785000
AXA Mandiri Asuransi Rumahku Plus,Properti,P0077,U0189,4.9,657428.5714
ACA Asuransi Rumah Idaman (ASRI),Properti,P0078,U0152,4,657428.5714
ACA Asuransi Kebakaran (Standar OJK),Properti,P0079,U0014,4.3,657428.5714
Allianz Asuransi Rumahku Plus,Properti,P0080,U0186,4.8,100000
BCA Asuransi Rumah Tinggal,Properti,P0081,U0097,3.7,774000
BCA Asuransi Properti Komersial,Properti,P0082,U0083,3,774000
BCA Asuransi Kebakaran,Properti,P0083,U0173,4.4,769000
Asuransi Simas Ruko,Properti,P0084,U0080,3.8,200000
Simas Rumah Hemat Plus,Properti,P0085,U0107,5,200000
Simas Asuransi Kebakaran Property All Risks/Industrial All Risks,Properti,P0086,U0174,4.8,1785000
AXA Mandiri Asuransi Rumahku Plus,Properti,P0087,U0172,4.1,657428.5714
ACA Asuransi Rumah Idaman (ASRI),Properti,P0088,U0064,4.2,657428.5714
ACA Asuransi Kebakaran (Standar OJK),Properti,P0089,U0060,3.6,657428.5714
Allianz Asuransi Rumahku Plus,Properti,P0090,U0026,4.2,100000
BCA Asuransi Rumah Tinggal,Properti,P0091,U0200,4.2,774000
BCA Asuransi Properti Komersial,Properti,P0092,U0019,3.8,774000
BCA Asuransi Kebakaran,Properti,P0093,U0123,4.3,769000
Asuransi Simas Ruko,Properti,P0094,U0152,3.2,200000
Simas Rumah Hemat Plus,Properti,P0095,U0179,3.5,200000
Simas Asuransi Kebakaran Property All Risks/Industrial All Risks,Properti,P0096,U0057,5,1785000
AXA Mandiri Asuransi Rumahku Plus,Properti,P0097,U0100,4.6,657428.5714
ACA Asuransi Rumah Idaman (ASRI),Properti,P0098,U0001,4.1,657428.5714
ACA Asuransi Kebakaran (Standar OJK),Properti,P0099,U0025,5,657428.5714
Allianz Asuransi Rumahku Plus,Properti,P0100,U0175,4.5,100000
BCA Asuransi Rumah Tinggal,Properti,P0101,U0073,4.9,774000
BCA Asuransi Properti Komersial,Properti,P0102,U0163,4.5,774000
BCA Asuransi Kebakaran,Properti,P0103,U0135,4.9,769000
Asuransi Simas Ruko,Properti,P0104,U0037,3.8,200000
Simas Rumah Hemat Plus,Properti,P0105,U0131,4.3,200000
Simas Asuransi Kebakaran Property All Risks/Industrial All Risks,Properti,P0106,U0067,3.7,1785000
AXA Mandiri Asuransi Rumahku Plus,Properti,P0107,U0115,4.4,657428.5714
ACA Asuransi Rumah Idaman (ASRI),Properti,P0108,U0044,4.5,657428.5714
ACA Asuransi Kebakaran (Standar OJK),Properti,P0109,U0006,3.6,657428.5714
Allianz Asuransi Rumahku Plus,Properti,P0110,U0074,2.3,100000
BCA Asuransi Rumah Tinggal,Properti,P0111,U0027,5,774000
