Kategori Risiko,Premi Asuransi
0,3337800.0
0,3206700.0
0,3222600.0
0,3254850.0
0,3205500.0
0,3237450.0
2,5703000.0
2,5902500.0
2,5902500.0
2,5932050.0
0,1755150.0
0,1763850.0
0,1781550.0
0,1203750.0
0,1215750.0
2,3757800.0
2,3870600.0000000005
2,3889800.0
2,5106450.0
2,5037300.0
2,5188650.0
2,5136900.0
2,3886800.0
2,3215100.0
2,4423950.0
2,4357500.0
2,3801150.0
2,3654300.0
1,7117350.0
1,7259700.0
1,7332150.0
2,3730200.0
2,3860850.0
2,3822150.0
2,6559800.0
2,6693600.0
2,6559800.0
2,4714500.0
2,4588200.0
2,4588500.0
2,6921150.0
2,6990450.0
2,6885600.0
2,5209200.0
2,5808150.0
2,5866050.0
2,5254500.0
2,4913100.0
2,4863900.0
2,3985350.0
2,5197050.0
2,5352600.0
2,3756900.0
2,3888300.0000000005
2,3907650.0
2,4119150.0
2,4045800.0000000005
2,4045800.0000000005
2,6478950.0
2,6673200.0
1,4920300.0
2,3448200.0
2,5072400.0
2,5224650.0
1,4246350.0
2,4838400.0
2,5007750.0
2,5007750.0
2,4784550.0
2,8572350.0
2,4567050.0
2,4704150.0
2,4727700.0
2,4894950.0
2,5041800.0
2,5067300.0
2,3534600.0
2,3552450.0
2,3745200.0
2,3820050.0
2,3864749.9999999995
2,3739050.0
2,4010850.0
2,4130999.9999999995
1,4068450.0000000005
1,5361900.0
1,5641650.0
2,5458500.0
2,5458500.0
2,7287150.0
2,4375650.0
2,4157100.0
2,3625950.0
2,3664500.0
2,3482250.0
2,5613600.0
2,5641650.0
2,10348950.0
2,5650050.0
2,4394850.0
2,4747950.0
2,4818900.0
2,4843050.0
2,2294550.0
2,2374500.0
2,2486850.0
2,3965700.0
0,1402050.0
0,1878150.0
0,1915650.0
0,1934699.9999999998
2,6935850.0
2,7074300.0
2,11637150.0
2,3857550.0000000005
2,4622250.0
2,4691700.0
2,4691700.0
2,4293450.0
2,5095950.0
2,5147250.0
1,6173400.0
2,4382550.0
2,4535850.0
2,4535850.0
2,4558650.0
2,3973200.0
2,3497550.0
2,4450800.0
2,4651050.0
2,4535100.0
2,4671300.0
2,3932400.0000000005
2,4109250.0
2,4376250.0
2,5649600.0
2,2629050.0
2,3540000.0
1,3126900.0
1,7456800.0
2,3790650.0
2,4126800.0
2,4037249.9999999995
2,3610800.0
2,3755250.0
2,3774000.0
2,3996300.0000000005
0,1056750.0
0,1072650.0
0,1050750.0
2,5441400.0
2,7264650.0
2,7192050.0
2,6138600.0
1,6625500.0
2,3945000.0
2,4063350.0
2,4063350.0
2,4253400.0
2,4381350.0
2,4837800.0
2,4886250.0
2,4812900.0
2,5270400.0
2,5296950.0
2,4723350.0
0,2772600.0
1,5514900.0
2,4832700.0
2,4977600.0
2,5002350.0
2,3607950.0
2,7033800.0
2,5380500.0
2,4076100.0
2,4198350.0
2,4156349.9999999995
2,3860550.0
2,3899100.0
2,3336300.0
2,3511800.0
2,3536550.0
1,4719750.0
1,4616100.0
1,5008500.0
2,8061750.000000001
1,4489800.0
1,4489800.0
1,6639450.0
2,7185450.0
1,4513500.0
1,4603650.0
1,4626750.0
1,4798200.0
1,4798200.0
1,4822200.0
2,4026150.0000000005
2,4328100.0
2,4479600.0
0,1525500.0
0,2110500.0
2,4012949.9999999995
2,4313850.0
2,5198100.0
2,4372650.0
2,2241750.0
2,9206550.0
2,9482850.0
2,9530250.0
2,11481600.0
2,15270450.0
2,3336600.0
1,4401900.0
1,4468050.0
1,4513050.0
2,7069650.0
2,3598500.0
2,4348050.0
2,4456800.0
2,4562700.0
2,6159600.0
2,3288300.0
2,3216300.0
2,3328800.0
2,3298050.0
2,3396900.0
2,5980500.0
2,6129900.0
2,21299100.0
2,21058500.0
2,4203150.0
2,4938750.0
2,4714800.0
0,1360200.0
0,1366800.0
2,5652000.0
2,3692100.0
2,3479400.0
2,3616500.0
2,3706950.0
2,3582000.0
2,5051550.0
1,5413650.0
1,5467800.0
2,4369050.0
1,10196850.0
1,4371000.0
1,4371000.0
2,3278250.0
2,3343950.0
2,4763850.0
2,3989250.0
2,4049250.0
2,4434000.0
2,3167850.0
2,3070950.0
2,3072750.0
2,3148650.0
2,3466350.0
2,3518100.0
2,3384450.0
1,4542600.0
1,4588050.0
1,4611000.0
0,5883900.0
0,5884050.0
0,5913750.0
0,1713750.0
0,1747950.0
1,9464700.0
2,8513550.0
2,4387350.0
2,4035449.9999999995
2,4358100.0
1,5820750.0
0,3089850.0
0,3105150.0
0,1649400.0
0,1657650.0
0,1674150.0
2,7099800.0
2,8274000.0
2,4602150.0
2,5951700.0
2,6100650.0
2,6131100.0
2,2876250.0
2,2989500.0
2,3079200.0
0,1649400.0
2,6862050.0
2,4440450.0
2,6053250.0
2,8748300.0
2,8573250.0
2,2587500.0
2,3999000.0000000005
2,7541850.0
2,7390800.0
2,2552850.0
2,2929500.0
2,3207750.0
2,5212200.0
2,5394450.0
2,6246300.0
2,3974850.0
2,3421650.0
2,3507000.0
2,3471900.0
2,3106500.0
2,3122100.0
2,5052300.0
2,4341450.0
2,3236850.0
2,3283050.0
2,3398100.0
0,1593450.0
0,1579200.0
0,1587000.0
2,3225000.0
2,6247500.0
2,6372450.0
2,6308700.0
2,10952400.0
2,9007050.0
2,9007050.0
2,8650500.0
2,4796850.0
2,4537500.0
2,4560300.0
2,3555900.0
2,3644850.0
0,1765200.0
0,1809300.0
0,1827450.0
2,4922400.0
2,4186349.9999999995
2,4311750.0
2,4246950.0
2,4259550.0
2,4320000.0
2,3632850.0
2,3778050.0
1,5423100.0
1,4934550.0
1,4983900.0
2,6163950.0
2,4695600.0
1,4733400.0
2,4809750.0
0,1525350.0
2,4257900.0
2,4364250.0
2,4050900.0
2,5350200.0
2,5377050.0
2,8010749.999999999
2,8361750.000000001
2,8278200.0
1,5511750.0
1,4598400.0
1,4598400.0
2,5782800.0
2,5898450.0
2,4183800.0000000005
2,4216050.0
2,3611100.0
2,3605100.0
2,3623550.0
2,4671150.0
2,4404900.0
2,3822000.0
2,3068100.0
0,3491700.0
2,3897599.9999999995
2,4014600.0
2,4014600.0
1,7514850.0
1,3684300.0
1,3684300.0
1,3739650.0
2,3302700.0
2,3401700.0
2,6676050.0
2,6606150.0
2,6639300.0
2,6163950.0
2,7057800.0
2,4311300.0
2,7832250.0
2,7832250.0
2,6501900.0
2,3292950.0
0,1842450.0
0,1879350.0
0,1458300.0
1,5043900.0
1,5094300.0
2,4468950.0
2,4558350.0
2,4558350.0
2,3257700.0
2,3885299.9999999995
2,5068350.0
2,4211850.0
0,1525500.0
0,1533150.0
0,1548450.0
2,3599550.0
2,3941549.9999999995
2,3662400.0
1,5426400.0
1,5616300.0
1,5672400.0
1,5375250.0
1,5401950.0
1,5324700.0
2,7887450.000000001
2,7887149.999999999
2,8519550.0
2,3064800.0
2,6583350.0
2,7077300.0
1,4242750.0
1,4730250.0
2,5481150.0
1,2688900.0
2,5642850.0
2,5835000.0
2,5365200.0
2,4081950.0
2,4081950.0
2,7787399.999999999
2,5061300.0
2,5972400.0
2,6966300.0
2,7314900.0
2,7680749.999999999
2,5382600.0
2,3527550.0
2,4344600.0
2,4344600.0
2,4366500.0
2,3251400.0
2,3251400.0
2,3397650.0
2,3674700.0
2,3477300.0
2,3442350.0
2,4415550.0
2,4437750.0
2,4460100.0
1,5140650.0
2,3993000.0
2,4112700.0
2,4050900.0
2,3340200.0
2,3357150.0
2,4295250.0
2,5069250.0
0,2812800.0
